Resource,Language,Field,Designation,Size
Mastering Julia (Malcom Sherrington),Julia,Data Visualization,Books,3938
Julia for Data Science (Ivo Balbaert),Julia,Data Visualization,Classes,3938
Gadfly,Julia,Data Visualization,Tools,3938
Mastering Julia (Malcom Sherrington),Julia,Statistics,Books,3938
Julia for Data Science (Ivo Balbaert),Julia,Statistics,Classes,3938
Distributions,Julia,Statistics,Tools,3938
Sampling,Julia,Statistics,Tools,3938
Hypothesis Tests,Julia,Statistics,Tools,3938
Mastering Julia (Malcom Sherrington),Julia,Machine Learning,Books,3938
Julia for Data Science (Ivo Balbaert),Julia,Machine Learning,Classes,3938
MLBase,Julia,Machine Learning,Tools,3938
PGM,Julia,Machine Learning,Tools,3938
DA,Julia,Machine Learning,Tools,3938
Local Regression,Julia,Machine Learning,Tools,3938
Text Analysis,Julia,Machine Learning,Tools,3938
Merlin,Julia,Machine Learning,Tools,3938
Mocha,Julia,Machine Learning,Tools,3938
Manifold Learning,Julia,Machine Learning,Tools,3938
ANN,Julia,Machine Learning,Tools,3938
Time Series,Julia,Machine Learning,Tools,3938
Images,Julia,Machine Learning,Tools,3938
DSP,Julia,Machine Learning,Tools,3938
SignalProcessing,Julia,Machine Learning,Tools,3938
Dimensionality Reduction,Julia,Machine Learning,Tools,3938
SVM,Julia,Machine Learning,Tools,3938
Simple MCMC,Julia,Machine Learning,Tools,3938
GLMNet,Julia,Machine Learning,Tools,3938
Mamba,Julia,Machine Learning,Tools,3938
Neural,Julia,Machine Learning,Tools,3938
Mastering Julia (Malcom Sherrington),Julia,Web Apps,Books,3938
Julia for Data Science (Ivo Balbaert),Julia,Web Apps,Classes,3938
JuliaWeb,Julia,Web Apps,Tools,3938
JavaScript and JQuery: Interactive Front-End Web Development,JavaScript,Other,Books,3938
Learning Path: Javascript Patterns,JavaScript,Other,Classes,3938
datakit,JavaScript,Other,Tools,3938
sylvester,JavaScript,Other,Tools,3938
N/A,JavaScript,Big Data,Books,3938
N/A,JavaScript,Big Data,Classes,3938
Clusterize.js,JavaScript,Big Data,Tools,3938
N/A,JavaScript,Data Mining,Books,3938
N/A,JavaScript,Data Mining,Classes,3938
Phantom.js,JavaScript,Data Mining,Tools,3938
Interactive Data Visualization For The Web (Scott Murray),JavaScript,Data Visualization,Books,3938
Intermediate D3.js,JavaScript,Data Visualization,Classes,3938
d3.js,JavaScript,Data Visualization,Tools,3938
High Charts,JavaScript,Data Visualization,Tools,3938
dimplejs,JavaScript,Data Visualization,Tools,3938
D3xter,JavaScript,Data Visualization,Tools,3938
chartjs,JavaScript,Data Visualization,Tools,3938
NVD3.js,JavaScript,Data Visualization,Tools,3938
dc.js,JavaScript,Data Visualization,Tools,3938
Z3d,JavaScript,Data Visualization,Tools,3938
sigma.js,JavaScript,Data Visualization,Tools,3938
"C3,js",JavaScript,Data Visualization,Tools,3938
N/A,JavaScript,Statistics,Books,3938
N/A,JavaScript,Statistics,Classes,3938
statkit,JavaScript,Statistics,Tools,3938
science.js,JavaScript,Statistics,Tools,3938
N/A,JavaScript,Machine Learning,Books,3938
N/A,JavaScript,Machine Learning,Classes,3938
Twitter-text,JavaScript,Machine Learning,Tools,3938
NLP Compromise,JavaScript,Machine Learning,Tools,3938
TextProcessing,JavaScript,Machine Learning,Tools,3938
Retext,JavaScript,Machine Learning,Tools,3938
Knwl.ks,JavaScript,Machine Learning,Tools,3938
NLP.js,JavaScript,Machine Learning,Tools,3938
Convnet.js,JavaScript,Machine Learning,Tools,3938
Clustering.js,JavaScript,Machine Learning,Tools,3938
Synaptic,JavaScript,Machine Learning,Tools,3938
shaman,JavaScript,Machine Learning,Tools,3938
Pavlov.js,JavaScript,Machine Learning,Tools,3938
fiuge,JavaScript,Machine Learning,Tools,3938
Node-SVM,JavaScript,Machine Learning,Tools,3938
mil-tokyo,JavaScript,Machine Learning,Tools,3938
Node-fann,JavaScript,Machine Learning,Tools,3938
JavaScript Web Applications,JavaScript,Web Apps,Books,3938
N/A,JavaScript,Web Apps,Classes,3938
Meteor.js,JavaScript,Web Apps,Tools,3938
A Tour of C++,C++,Other,Books,3938
Introduction to C++ (edX),C++,Other,Classes,3938
MITIE,C++,Other,Tools,3938
N/A,C++,Big Data,Books,3938
